n_id|slug|name|url|image_url|total_perfumes|common_position|first_year|last_year|categories|summary_text|n_id_aliases_p|n_id_primary_name_p
5844|Mastic_resin|Mastic|https://www.parfumo.com/Fragrance_Note/Mastic_resin|https://media.parfumo.com/notes_png/33/33_f22672f55139e650ee1045c7f186833f30598b50_1200.png|380|throughout the entire fragrance|1979|2026|c385;c524|Parfumo knows 380 perfumes which contain the fragrance note Mastic . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1979 and last in 2026 .||
1844|Mimosa|Mimosa|https://www.parfumo.com/Fragrance_Note/Mimosa|https://media.parfumo.com/notes_png/84/84_feb7670458e9f37b73ac2ea676c452a1ca79b82a_1200.png|2299|heart|1879|2026|c231;c397|Parfumo knows 2299 perfumes which contain the fragrance note Mimosa . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1879 and last in 2026 .||
1859|Mint|Mint|https://www.parfumo.com/Fragrance_Note/Mint|https://media.parfumo.com/notes_png/05/05_81c79739265627e4165f112ee703cb8ab1a4140d_1200.png|4633|top|1820|2026|c284;c400|Parfumo knows 4633 perfumes which contain the fragrance note Mint . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1820 and last in 2026 .||
1887|Moss|Moss|https://www.parfumo.com/Fragrance_Note/Moss|https://media.parfumo.com/notes_png/31/31_1192c56c30453be7c7e418211c4b18d1e83f2b95_1200.png|5694|base|1768|2026|c407;c408|Parfumo knows 5694 perfumes which contain the fragrance note Moss . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
1894|Musk|Musk|https://www.parfumo.com/Fragrance_Note/Musk|https://media.parfumo.com/notes_png/9b/9b_5defe06fd0240a8472dddf9cd126f430a07cc270_1200.png|55911|base|1668|2026|c414|Parfumo knows 55911 perfumes which contain the fragrance note Musk . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1668 and last in 2026 .||
1956|Myrrh|Myrrh|https://www.parfumo.com/Fragrance_Note/Myrrh|https://media.parfumo.com/notes_png/e7/e7_90df9248dc86863bcf070b9efe332e2a2a68097b_1200.png|4508|throughout the entire fragrance|1920|2026|c417;c445;c524|Parfumo knows 4508 perfumes which contain the fragrance note Myrrh . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1920 and last in 2026 .||
1998|Neroli|Neroli|https://www.parfumo.com/Fragrance_Note/Neroli|https://media.parfumo.com/notes_png/77/77_b9e4b4fbf9f4b0465347763a7ff981dd3d336094_1200.png|7879|top|1709|2026|c141;c231;c424;c660|Parfumo knows 7879 perfumes which contain the fragrance note Neroli . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1709 and last in 2026 .||
693|Oakmoss|Oakmoss|https://www.parfumo.com/Fragrance_Note/Oakmoss|https://media.parfumo.com/notes_png/25/25_13a7b2d617b89bd3cad484bb4edd58ebf005a95f_1200.png|10112|base|1860|2026|c408;c430|Parfumo knows 10112 perfumes which contain the fragrance note Oakmoss . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1860 and last in 2026 .||
2046|Opoponax|Opoponax|https://www.parfumo.com/Fragrance_Note/Opoponax|https://media.parfumo.com/notes_png/a1/a1_ba03463f020f6c2f555e6925277c5cbba4c9123b_1200.png|1407|base|1859|2026|c440;c524|Parfumo knows 1407 perfumes which contain the fragrance note Opoponax . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1859 and last in 2026 .||
2061|Orange_blossom|Orange blossom|https://www.parfumo.com/Fragrance_Note/Orange_blossom|https://media.parfumo.com/notes_png/77/77_b9e4b4fbf9f4b0465347763a7ff981dd3d336094_1200.png|13356|heart|1853|2026|c231;c233;c442;c660|Parfumo knows 13356 perfumes which contain the fragrance note Orange blossom . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1853 and last in 2026 .||
